iter	Logloss
0	0.6087591511
1	0.5395783525
2	0.4870008213
3	0.4424859502
4	0.4170519795
5	0.3920679092
6	0.3656314388
7	0.3424321994
8	0.3273788276
9	0.3105061472
10	0.300128389
11	0.2903711656
12	0.2819456361
13	0.2760556664
14	0.2663316795
15	0.2615950716
16	0.2560609667
17	0.2509988742
18	0.2488388677
19	0.2430463337
20	0.2408497053
21	0.2380822963
22	0.2334185311
23	0.2295744307
24	0.226128862
25	0.223244291
26	0.2212151211
27	0.2188310931
28	0.2171060035
29	0.2161492339
30	0.2152975324
31	0.2139650052
32	0.2130145981
33	0.2122234631
34	0.2115578689
35	0.2109352905
36	0.2098974443
37	0.2089114268
38	0.2084155682
39	0.2072055775
40	0.2064931495
41	0.2059941517
42	0.2051022725
43	0.2045443863
44	0.2039885478
45	0.2035430041
46	0.2029328323
47	0.2023587579
48	0.201934109
49	0.2011408784
50	0.2003919456
51	0.1995871182
52	0.1989969649
53	0.198165078
54	0.1974069078
55	0.1971365896
56	0.1964649721
57	0.1960866515
58	0.195463002
59	0.1949754303
60	0.1943598274
61	0.1938582967
62	0.1934676112
63	0.1928761295
64	0.1922360429
65	0.1916635457
66	0.1913063925
67	0.1908800894
68	0.19029476
69	0.1899208574
70	0.1893390072
71	0.1888237204
72	0.1883430786
73	0.1881374636
74	0.1876689818
75	0.1872460525
76	0.1869432143
77	0.1864896064
78	0.1859970921
79	0.1856276286
80	0.1851979204
81	0.1848727741
82	0.184592915
83	0.1842628972
84	0.1838790586
85	0.1836058442
86	0.1832060806
87	0.1829050644
88	0.1824325938
89	0.1820838859
90	0.1817397646
91	0.1813048199
92	0.1808828553
93	0.1805166376
94	0.180203165
95	0.1798412596
96	0.1794524646
97	0.1790899822
98	0.1786522782
99	0.178075687
100	0.1778325412
101	0.1775448919
102	0.1771277634
103	0.1768438804
104	0.1764001545
105	0.1761811664
106	0.1758320052
107	0.1754846025
108	0.1751814907
109	0.1748472002
110	0.1745419837
111	0.1742723244
112	0.1738374744
113	0.173530455
114	0.1731103715
115	0.1728440865
116	0.1723733333
117	0.1721647645
118	0.1718591232
119	0.171526914
120	0.1711695277
121	0.1709044585
122	0.1704508729
123	0.1700730543
124	0.1697419231
125	0.1695325374
126	0.1690973453
127	0.1686034674
128	0.1682875043
129	0.1679072935
130	0.1676411718
131	0.1674484931
132	0.1670866586
133	0.1668810245
134	0.1665027854
135	0.1662604676
136	0.1660423525
137	0.1657485806
138	0.1654608821
139	0.1651210705
140	0.1647021973
141	0.1644302375
142	0.1640723652
143	0.1638637362
144	0.1635547227
145	0.1631755015
146	0.1630375051
147	0.1628122562
148	0.162535487
149	0.1621851009
150	0.16196022
151	0.1616475633
152	0.1613473208
153	0.160923274
154	0.1607118617
155	0.1603574887
156	0.1600295466
157	0.1597569602
158	0.1595083959
159	0.1591568736
160	0.1589009729
161	0.1585555672
162	0.1583509063
163	0.1579875579
164	0.1577913683
165	0.1575728285
166	0.1572586213
167	0.1570397584
168	0.1565321756
169	0.156447511
170	0.156240297
171	0.1559150037
172	0.155650258
173	0.1554426877
174	0.1550605712
175	0.1548481526
176	0.1544633241
177	0.1540769102
178	0.1537622606
179	0.1533926112
180	0.153116743
181	0.152821935
182	0.1525884382
183	0.1522625318
184	0.1520569114
185	0.1518151753
186	0.1514548677
187	0.1511737784
188	0.1508209252
189	0.1504386513
190	0.1500556211
191	0.149733395
192	0.1493213593
193	0.1491469913
194	0.1488870934
195	0.1486363684
196	0.148315653
197	0.1480849389
198	0.147793869
199	0.1474003724
200	0.1470953182
201	0.1466918637
202	0.1463384102
203	0.1459987118
204	0.1456915998
205	0.1452912386
206	0.1448899107
207	0.1444858989
208	0.1443286111
209	0.1440442736
210	0.1436809448
211	0.1434357517
212	0.1432384895
213	0.1429932167
214	0.142599832
215	0.142414989
216	0.1421862272
217	0.1418241854
218	0.1416579793
219	0.1414586609
220	0.1410839872
221	0.1408219341
222	0.1404660473
223	0.1401919161
224	0.1398684775
225	0.1395957405
226	0.1393673254
227	0.1390304561
228	0.1385956367
229	0.1382758211
230	0.1379797649
231	0.1375062225
232	0.1373412573
233	0.1370441153
234	0.13683851
235	0.1365144481
236	0.1361768553
237	0.1359488479
238	0.1357345457
239	0.1354078497
240	0.1352109659
241	0.1350051625
242	0.1347928639
243	0.1345047069
244	0.1341682367
245	0.1338816956
246	0.1335890262
247	0.1332286888
248	0.1330586181
249	0.1326296877
250	0.1323196033
251	0.1319807849
252	0.1316274999
253	0.1314243888
254	0.1312211226
255	0.1309867913
256	0.130754588
257	0.1304674209
258	0.1301626834
259	0.1298545286
260	0.1294533731
261	0.1291485658
262	0.1287888079
263	0.1285019079
264	0.128276242
265	0.1279874355
266	0.1278302618
267	0.1276793083
268	0.1274170278
269	0.127256482
270	0.1270670238
271	0.1267673377
272	0.1265486808
273	0.1262489999
274	0.1259455799
275	0.1257485502
276	0.1255774622
277	0.1251934976
278	0.1250156078
279	0.1246701675
280	0.1245126207
281	0.124306201
282	0.1240633254
283	0.1237847592
284	0.123529058
285	0.1232405656
286	0.1230046218
287	0.1228222484
288	0.1225275333
289	0.1223310364
290	0.1221416682
291	0.1218578919
292	0.1215135858
293	0.1213217026
294	0.1211316502
295	0.1208296259
296	0.1205488289
297	0.1203093242
298	0.1200162822
299	0.1198222884
