iter	Passed	Remaining
0	8	2407
1	15	2372
2	23	2364
3	31	2349
4	39	2341
5	47	2336
6	57	2407
7	65	2389
8	73	2384
9	81	2365
10	90	2388
11	99	2381
12	107	2367
13	115	2353
14	123	2344
15	131	2338
16	140	2333
17	149	2337
18	157	2333
19	166	2325
20	174	2313
21	182	2311
22	190	2299
23	198	2287
24	207	2279
25	215	2268
26	223	2256
27	231	2248
28	239	2236
29	247	2226
30	255	2215
31	263	2203
32	272	2207
33	281	2198
34	289	2190
35	297	2180
36	305	2170
37	313	2159
38	321	2150
39	329	2139
40	337	2131
41	345	2123
42	353	2112
43	361	2102
44	369	2092
45	378	2088
46	386	2078
47	394	2069
48	402	2059
49	410	2050
50	417	2040
51	425	2030
52	435	2029
53	443	2019
54	454	2023
55	464	2025
56	473	2017
57	481	2008
58	489	1999
59	497	1991
60	505	1981
61	513	1972
62	521	1962
63	530	1955
64	538	1946
65	546	1937
66	554	1927
67	562	1920
68	570	1910
69	579	1903
70	590	1906
71	600	1902
72	609	1894
73	617	1885
74	626	1879
75	634	1870
76	642	1861
77	652	1856
78	661	1851
79	671	1847
80	682	1844
81	692	1841
82	702	1835
83	711	1828
84	719	1819
85	727	1809
86	735	1800
87	743	1790
88	751	1781
89	759	1771
90	767	1761
91	775	1752
92	782	1742
93	790	1733
94	799	1724
95	807	1714
96	814	1705
97	823	1697
98	831	1687
99	839	1678
100	847	1670
101	856	1662
102	864	1652
103	872	1643
104	880	1634
105	889	1627
106	897	1618
107	905	1609
108	915	1603
109	923	1594
110	931	1586
111	942	1582
112	951	1574
113	959	1565
114	967	1556
115	975	1547
116	983	1538
117	991	1529
118	999	1520
119	1007	1511
120	1015	1502
121	1023	1493
122	1032	1485
123	1040	1476
124	1048	1467
125	1056	1458
126	1064	1450
127	1072	1441
128	1080	1432
129	1088	1423
130	1097	1415
131	1105	1407
132	1114	1399
133	1123	1391
134	1131	1382
135	1139	1374
136	1147	1365
137	1155	1356
138	1163	1348
139	1171	1339
140	1180	1331
141	1188	1322
142	1197	1314
143	1205	1305
144	1214	1297
145	1222	1289
146	1230	1280
147	1238	1271
148	1246	1263
149	1254	1254
150	1263	1246
151	1271	1237
152	1279	1229
153	1287	1220
154	1295	1212
155	1303	1203
156	1311	1194
157	1319	1185
158	1327	1177
159	1335	1168
160	1343	1160
161	1352	1151
162	1360	1143
163	1369	1135
164	1377	1126
165	1385	1118
166	1393	1109
167	1402	1101
168	1411	1094
169	1420	1086
170	1429	1078
171	1437	1069
172	1445	1060
173	1453	1052
174	1461	1043
175	1469	1035
176	1477	1026
177	1485	1017
178	1493	1009
179	1501	1000
180	1509	992
181	1517	983
182	1525	975
183	1533	966
184	1541	958
185	1549	949
186	1557	941
187	1565	932
188	1573	924
189	1581	915
190	1589	907
191	1597	898
192	1606	890
193	1617	883
194	1626	875
195	1634	867
196	1642	858
197	1649	849
198	1659	842
199	1668	834
200	1681	828
201	1690	820
202	1699	811
203	1708	804
204	1717	796
205	1725	787
206	1733	779
207	1742	770
208	1749	761
209	1757	753
210	1766	745
211	1774	736
212	1782	728
213	1790	719
214	1798	710
215	1806	702
216	1814	693
217	1822	685
218	1830	677
219	1838	668
220	1846	659
221	1854	651
222	1863	643
223	1871	635
224	1879	626
225	1889	618
226	1901	611
227	1913	604
228	1921	595
229	1928	587
230	1936	578
231	1944	570
232	1953	561
233	1961	553
234	1969	544
235	1977	536
236	1985	527
237	1993	519
238	2001	510
239	2009	502
240	2017	494
241	2025	485
242	2033	477
243	2041	468
244	2050	460
245	2058	451
246	2067	443
247	2075	435
248	2083	426
249	2091	418
250	2099	409
251	2107	401
252	2115	392
253	2123	384
254	2131	376
255	2139	367
256	2149	359
257	2158	351
258	2166	342
259	2174	334
260	2182	326
261	2190	317
262	2199	309
263	2207	300
264	2215	292
265	2223	284
266	2232	275
267	2240	267
268	2248	259
269	2256	250
270	2265	242
271	2273	233
272	2281	225
273	2289	217
274	2298	208
275	2305	200
276	2316	192
277	2327	184
278	2335	175
279	2343	167
280	2351	159
281	2361	150
282	2368	142
283	2380	134
284	2388	125
285	2396	117
286	2404	108
287	2412	100
288	2420	92
289	2428	83
290	2437	75
291	2446	67
292	2454	58
293	2462	50
294	2470	41
295	2478	33
296	2487	25
297	2494	16
298	2503	8
299	2512	0
